A,B,C
0.00234570489796,0.00340148858321,28.60e44
0.0206438215298,0.0347434139818,4.12e44
0.14180534825,0.20698788565,3.03e44
0.00427672062573,0.00609030379794,7.53e44
0.00504509661386,0.0051097399854,7.45e44
0.101042759556,0.151480083274,2.67e44
0.00724984931508,0.0125294538819,10.99e44
0.00792361228152,0.0130752296155,10.21e44
0.0166554103248,0.0126166774129,2.22e44
0.00474957350143,0.0047103969396,5.01e44
0.00961237579193,0.0135488326665,14.18e44
0.00482687551559,0.0119054901093,7.30e44
0.0149179687472,0.0282943518786,15.40e44
0.020458923579,0.0295349833623,2.92e44
0.0111711141209,0.0185466377319,9.16e44
0.0144203279344,0.0186712516313,9.55e44
0.00410351101571,0.00544482232925,20.08e44
0.0124785191281,0.0218376030433,4.54e44
0.0486271135363,0.0645469002581,4.58e44
0.00267782542512,0.00466704769054,20.06e44
0.00810920000042,0.0080005616299,8.77e44
0.0154451562877,0.0223626816065,110.57e44
0.0123195072011,0.0166537664213,4.83e44
0.00306950768986,0.00954452421219,6.98e44
0.01389324536,0.0235407862816,4.91e44
0.01389324536,0.0235407862816,7.67e44
0.0067989162649,0.0145450187629,15.04e44
0.00985549778561,0.0122451398371,23.93e44
0.0123321880302,0.0184991031633,5.24e44
0.0108646186755,0.0112549502053,3.81e44
0.005443880102,0.00737228713373,5.71e44
0.00209426220007,0.00369866650635,7.79e44
0.0105132729265,0.0142615838502,8.55e44
0.00891620170742,0.0138241856193,7.04e44
0.00421117256215,0.00530777269732,3.32e44
0.00922962128583,0.0140978050954,5.01e44
0.00736440937058,0.0130012995809,13.77e44
0.00656974071119,0.0110424623927,7.08e44
0.0110424623927,0.00470228597818,61.52e44
0.0159301551974,0.0287108768127,4.95e44
0.0198125901101,0.0262051707711,8.10e44
0.016909853018,0.0201336586317,12.58e44
0.00248307016921,0.00377037551894,3.64e44
0.0216847034873,0.0300628127239,22.37e44
0.052733360692,0.076073955769,8.86e44
0.0151205505313,0.0184345802766,21.42e44
0.0350755283898,0.0500418170039,10.26e44
0.0106660658785,0.0169281317371,2.58e44
0.0220449881074,0.0293037529495,4.90e44
0.00796956098338,0.00846926015846,13.90e44
0.0381754079155,0.0576608524703,2.73e44
0.0111906442682,0.0135380308939,2.97e44
0.0471249279419,0.0710708454298,14.42e44
0.0205210969828,0.0303220225897,10.07e44
0.0235734013091,0.0313758167159,24.27e44
0.0357504397459,0.0296347456097,9.92e44
0.111835458487,0.14293370165,4.30e44
0.0163684305089,0.0226232002653,8.22e44
0.00349116833872,0.00625411903495,4.27e44
0.0205791203833,0.0303586632131,5.44e44
0.00399011141866,0.00582835693576,10.96e44
0.0118995452472,0.0185665968515,5.04e44
0.00442299983384,0.00555206725313,9.92e44
0.00813596110105,0.00906340745115,7.46e44
0.00336943722872,0.00361695246004,8.41e44
0.00932740683244,0.0139112951396,3.72e44
0.0327600052131,0.0444409872913,2.54e44
0.0209828434352,0.0313085707056,2.67e44
0.0109295573302,0.0125126817654,6.33e44
0.0333672608243,0.0406538962524,4.60e44
0.0181403720987,0.0239861818754,
0.0150186801558,0.0249560082619,
0.0424605856318,0.0589725682049,
0.0262358406527,0.0313049591624,
0.00256090505445,0.0044761004864,
0.00873210448539,0.00597829111792,
0.0921463100927,0.11866240439,
0.0192754147168,0.0206491798707,
 0.0252934771338,0.0298445749903,
0.0240454234713,0.0244066891064,
0.00097578482492,0.0036824805765,
