A,B,C
141.824068915,3.04049654093,28.60e44
151.780280831,2.57459144247,4.12e44
92.6146599874,1.64189105391,3.03e44
110.824485425,2.39495279961,7.53e44
112.537535475,2.83336884595,7.45e44
82.6536216174,1.61335301303,2.67e44
90.3900986776,1.86814391883,10.99e44
115.311502957,2.15309424862,10.21e44
120.670277704,2.9457682354,2.22e44
128.871745744,2.02260417871,5.01e44
133.232825294,3.0913725272,14.18e44
105.613103809,2.95366966168,7.30e44
119.352667488,1.60415472159,15.40e44
105.764053269,1.92724850887,2.92e44
137.818424572,2.19714193957,9.16e44
127.747533166,1.83914588841,9.55e44
94.4952133031,2.87186362529,20.08e44
163.973034104,1.56627670396,4.54e44
107.659455238,1.52580050274,4.58e44
106.402032356,1.66293612934,20.06e44
191.654030711,1.66908318041,8.77e44
122.684015571,1.93819920001,110.57e44
79.6808134385,2.35158228291,4.83e44
113.158142093,2.41531769618,6.98e44
124.083039063,1.58319904209,4.91e44
103.324195767,2.84989504094,7.67e44
93.0814581203,1.65242090797,15.04e44
141.672809217,2.86270267732,23.93e44
119.52573807,3.34389441551,5.24e44
127.089446451,1.92286312382,3.81e44
114.236083137,3.04772803094,5.71e44
130.414648061,1.60112018283,7.79e44
158.669322496,1.73263067964,8.55e44
119.799947351,1.57656340103,7.04e44
100.223296457,3.07292006231,3.32e44
163.474968388,1.99181904999,5.01e44
105.780301771,2.63057724479,13.77e44
96.1410301619,1.89606026514,7.08e44
115.708116109,2.63504141462,61.52e44
114.448466236,1.59826552144,4.95e44
147.676885812,2.34053781645,8.10e44
110.270267168,1.66056794975,12.58e44
95.7004521329,2.00128401504,3.64e44
125.946150056,1.62080743583,22.37e44
131.956183373,1.65759089005,8.86e44
114.847625119,1.5002349743,21.42e44
118.982831208,1.93420382893,10.26e44
127.313709356,1.96640262865,2.58e44
107.139994637,1.54606642104,4.90e44
159.235245859,1.83876875317,13.90e44
125.963944853,1.66743403542,2.73e44
325.682353962,2.22319122972,2.97e44
109.216010684,2.1073115731,14.42e44
144.245696712,1.61711429805,10.07e44
128.700878316,3.06703622296,24.27e44
116.350057787,2.30296822985,9.92e44
131.888559835,2.10132271024,4.30e44
114.424177945,2.72468172394,8.22e44
114.137993732,1.71283716935,4.27e44
103.098445644,1.85309499856,5.44e44
139.491236184,1.70976258731,10.96e44
103.800253519,1.90247115192,5.04e44
107.887504602,1.61912251218,9.92e44
115.073453781,1.8134913777,7.46e44
130.991654391,1.61026302518,8.41e44
139.909863081,1.88431957827,3.72e44
258.353909965,1.7157147366,2.54e44
106.595740807,2.16887895568,2.67e44
96.0485971941,2.43360817292,6.33e44
119.202722678,1.81316369666,4.60e44
103.00195261,1.82402660201,
110.483401471,2.17519268256,
99.5502639116,2.09875273522,
117.632896015,1.78895666816,
94.0190633796,1.67489456433,
117.162653009,1.5564080843,
95.3800941105,1.68862495461,
94.6143262933,2.08421108089,
79.8075016896,2.16890405764,
144.270284897,2.26905325533,
114.551376834,2.61918152273,
109.263898204,1.8134845386,
111.50977621,2.3504028973,
