A,B,C
137.892281261,1.68733969474,28.60e44
113.125077775,1.56125200039,4.12e44
54.439426722,1.58575810983,3.03e44
65.5670991375,1.57660201579,7.53e44
100.51363346,1.80287523293,7.45e44
55.1077943166,1.59752955408,2.67e44
58.256014566,1.52164507808,10.99e44
78.3196616005,1.57333027497,10.21e44
98.9927310704,1.83582170866,2.22e44
115.243242005,4.1225647142,5.01e44
95.6338371528,1.6227155221,14.18e44
61.5905216707,1.69966321546,7.30e44
69.1532994617,1.58450701137,15.40e44
48.8032223981,1.559463575,2.92e44
118.717210268,1.5647045039,9.16e44
76.505207695,1.91648972271,9.55e44
74.8451184065,1.65714167024,20.08e44
119.769265968,1.60993143342,4.54e44
55.4180079713,1.67752861046,4.58e44
72.1911134472,1.73293523868,20.06e44
145.332053433,4.05994820741,8.77e44
62.1153049999,1.96672498064,110.57e44
71.5749753947,1.4875647439,4.83e44
69.3748437803,1.84135356649,6.98e44
12.1248537634,1.70323124989,4.91e44
66.4995663665,1.56303580282,7.67e44
110.468086319,1.62478207524,15.04e44
78.7000261908,2.04953708254,23.93e44
62.7696588985,1.73378524937,5.24e44
87.0233088102,1.55714805756,3.81e44
82.3594703137,1.58295410021,5.71e44
102.902357315,1.66269744723,7.79e44
79.1491046962,1.538557059,8.55e44
54.6850243077,2.10381929222,7.04e44
111.662575099,1.45779134991,3.32e44
76.0111215997,1.957853525,5.01e44
52.0071366377,1.65917843955,13.77e44
83.4411403466,1.8157125405,7.08e44
99.105383611,1.55039709422,61.52e44
106.255932539,2.13224137735,4.95e44
59.6783602532,1.7325659229,8.10e44
72.2080547176,72.2080547176,12.58e44
97.8211674245,1.59154332506,3.64e44
59.1533509428,1.60702398667,22.37e44
134.099304963,2.36826433428,8.86e44
55.6600154623,1.53622334412,21.42e44
100.659644711,1.69861142558,10.26e44
99.6157107185,1.69240266477,2.58e44
282.225265903,1.70559322042,4.90e44
120.142104175,1.6052452699,13.90e44
88.7141289059,1.67618640487,2.73e44
91.6930471254,1.5813579234,2.97e44
104.287969619,1.51553701041,14.42e44
67.2316410418,1.51523983043,10.07e44
58.8887055843,1.71336741702,24.27e44
86.7136049305,1.5447962516,9.92e44
106.992710496,1.5881027664,4.30e44
68.9302115483,1.5917767933,8.22e44
63.2503517654,1.5301983479,4.27e44
83.3622420637,1.58921476245,5.44e44
111.650328778,1.7934407288,10.96e44
76.9655180822,1.57666155166,5.04e44
206.893463754,1.51154937408,9.92e44
78.3509420887,1.72038407875,7.46e44
79.9719786504,1.48613997155,8.41e44
89.7746871417,1.57082948829,3.72e44
56.8560546088,1.61330753487,2.54e44
67.9785918856,2.35148177254,2.67e44
57.4701995168,1.6405857098,6.33e44
63.9961046763,1.5703173142,4.60e44
81.4403776604,1.58988918772,
57.3919622716,1.75637226024,
67.0726038078,1.53532835037,
57.6498642928,1.37613940167,
101.685505133,1.70323025064,
36.8626229408,1.72920719066,
120.631784585,1.55743095034,
108.378964508,1.52277324306,
57.7352500899,1.64535674565,
83.2567503558,1.38368234633,
