A,B,C
154.399354779,1.82977971978,28.60e44
150.212161079,2.29855129533,4.12e44
109.16860392,1.64157030372,3.03e44
117.03844569,1.66191521809,7.53e44
131.885923823,1.70273827672,7.45e44
94.4468180006,1.60018704846,2.67e44
102.201247441,1.72138012083,10.99e44
133.644247703,1.61954232393,10.21e44
122.880141986,2.85362797907,2.22e44
135.415959646,2.1309840655,5.01e44
115.575280015,3.12088954362,14.18e44
96.1240721962,1.88145207324,7.30e44
127.602538386,1.87168137906,15.40e44
109.954746892,1.79596738577,2.92e44
152.709658002,3.19629506858,9.16e44
132.538366472,2.13347433475,9.55e44
104.92043409,2.0252470025,20.08e44
166.146616486,1.94812653077,4.54e44
137.986398031,1.57030883685,4.58e44
116.624728616,1.63236856582,20.06e44
164.310608871,1.9204221209,8.77e44
129.123536368,1.77676824872,110.57e44
106.599550386,1.95637423508,4.83e44
132.337080925,1.9411936748,6.98e44
125.136068793,1.86231483525,4.91e44
140.673804739,1.74120079914,7.67e44
109.218394905,1.65111777369,15.04e44
142.991843459,2.40695528686,23.93e44
108.754940935,1.68020588992,5.24e44
147.972350933,1.660855373,3.81e44
121.084781644,1.65920737324,5.71e44
148.529707334,1.70531333463,7.79e44
158.854119973,1.71628660428,8.55e44
127.670153542,1.75000467355,7.04e44
108.112994363,2.06052395006,3.32e44
179.607859719,1.74032723318,5.01e44
114.334612478,1.94507667925,13.77e44
105.300263104,1.7225046495,7.08e44
149.95463012,2.07063516013,61.52e44
132.296113499,1.82677743157,4.95e44
160.43909008,1.54279970779,8.10e44
119.43447611,1.74603045845,12.58e44
108.271261666,1.57994351014,3.64e44
139.675007549,1.64566914688,22.37e44
150.164233683,1.78145343004,8.86e44
119.527432297,1.75250599992,21.42e44
129.45142719,1.71657514496,10.26e44
128.180931522,2.70039686707,2.58e44
118.879130313,1.51737900984,4.90e44
165.788756899,1.75536287859,13.90e44
142.610883415,1.69130378288,2.73e44
306.959601695,2.2246118372,2.97e44
111.242193065,2.45834260606,14.42e44
158.278091119,1.56155666235,10.07e44
110.405206088,3.15636196965,24.27e44
117.326510706,2.29980482614,9.92e44
145.675396449,1.62865639651,4.30e44
103.608234505,1.80606967491,8.22e44
95.8545826767,2.1374581855,4.27e44
106.811777563,2.43232670276,5.44e44
151.843720588,1.99932209468,10.96e44
101.706020108,2.07487372068,5.04e44
115.051335748,1.75254824573,9.92e44
118.638810117,1.71297296265,7.46e44
144.766432299,1.91585963786,8.41e44
151.831031846,1.70679199186,3.72e44
279.736000079,1.9613224687,2.54e44
120.083330839,1.70978923929,2.67e44
114.219733005,1.82273433412,6.33e44
118.094154784,1.61683952412,4.60e44
117.118201473,1.71299520056,
72.1583967613,2.36341156866,
120.250194795,1.54464725425,
105.04606048,2.54992277984,
116.978320652,1.64225136622,
90.275393654,1.70286724557,
110.590782996,1.75306031262,
101.190162643,1.86306479474,
109.244385631,2.11886492427,
71.1702265972,2.3070906438,
158.449948662,1.78212874413,
137.917820127,1.54720611234,
106.39387779,2.39875040038,
119.673019795,2.1254036496,
