A,B,C
106.092217615,1.78934023697,28.60e44
114.110141926,1.73836393785,4.12e44
67.1157424766,1.65279534791,3.03e44
71.6722330187,1.58376219469,7.53e44
90.909547311,1.73903223062,7.45e44
38.1239400537,1.80862884603,2.67e44
41.8833005655,1.71412839469,10.99e44
82.6870479573,1.68201751084,10.21e44
85.5219771552,1.87950702776,2.22e44
114.461894701,2.20185601693,5.01e44
69.4326236976,1.67376627348,14.18e44
61.4131055867,1.96565093013,7.30e44
55.4930250011,1.67727844468,15.40e44
113.929572134,3.37754778221,2.92e44
47.9972537228,1.74622838825,9.16e44
65.13084136,1.8066523732,9.55e44
113.431623778,1.85529281107,20.08e44
64.8878193344,1.98786750355,4.54e44
64.1025136273,1.45333105548,4.58e44
93.7880915195,1.8701776852,20.06e44
78.8440222151,1.69249240249,8.77e44
57.3749111497, 1.55465317887,110.57e44
74.3495281115,1.6696358582,4.83e44
69.092579013,1.66828964888,6.98e44
71.4070876774,1.71643218375,4.91e44
82.3451320683,1.72094232394,7.67e44
93.5223543183,1.57933938938,15.04e44
74.8358867829,1.9451044938,23.93e44
100.546046277,1.86716853781,5.24e44
53.352733216,1.70288257097,3.81e44
75.5628775997,1.92967943533,5.71e44
114.678430385,1.70368046065,7.79e44
64.2410445385,2.17351344373,8.55e44
58.5346880785,1.71342446506,7.04e44
74.1909829096,1.77933383891,3.32e44
67.854540043,2.05781604736,5.01e44
115.239858869,1.69379949906,13.77e44
57.5721459676,1.81373131546,7.08e44
97.6116705402,1.70069437735,61.52e44
89.4879044422,1.71376951088,4.95e44
230.115877161,2.62946301964,8.10e44
109.463109626,1.44097974182,12.58e44
62.443745479,1.61034586592,3.64e44
77.6907944494,1.90499057604,22.37e44
95.3666599217,1.67223883168,8.86e44
52.9529492346,1.58354736338,21.42e44
50.845828775,1.59712587144,10.26e44
43.5808383886,1.86337505497,2.58e44
105.317998489,1.60340594057,4.90e44
44.0422969367,1.66400871538,13.90e44
77.1441873104,1.65444428777,2.73e44
99.2708722986,1.62582840808,2.97e44
88.910094016,1.64906069527,14.42e44
163.598557455,1.73896053231,10.07e44
58.1301438016,1.86643754005,24.27e44
65.8130403382,1.76897765926,9.92e44
26.8886038743,1.5238543296,4.30e44
50.6859008151,1.64890733167,8.22e44
74.5014105969,1.63721732408,4.27e44
57.0229220095,1.63631340174,5.44e44
54.7987174165,1.59780387993,10.96e44
84.1315964154,1.86996996976,5.04e44
59.4847603185,1.67162095932,9.92e44
78.6665710034,1.61318633324,7.46e44
49.8455203669,1.77136082143,8.41e44
87.5933725645,1.80247123319,3.72e44
52.6311674054,1.57296894803,2.54e44
107.43310055,1.8742772029,2.67e44
44.0774247414,1.46747068059,6.33e44
67.5957562621,1.5000051186,4.60e44
87.2277143907,1.71089924554,
