A,B
1.13345738875,28.60e44
1.16052318765,4.12e44
1.06708345162,3.03e44
1.1672572262,7.53e44
1.14795918031,7.45e44
1.2940090706,2.67e44
1.62376648863,10.99e44
1.2778306553,10.21e44
1.1119743243,2.22e44
1.06381018063,5.01e44
1.13806407125,14.18e44
1.37160966651,7.30e44
0.981415400281,15.40e44
1.0246171503,2.92e44
0.968373406051,9.16e44
1.32811840799,9.55e44
1.229618093,20.08e44
1.28735907722,4.54e44
0.997682223615,4.58e44
1.29720771874,20.06e44
1.00573558227,8.77e44
1.12690159146,110.57e44
1.09473861417,4.83e44
1.44165846899,6.98e44
0.985915794672,4.91e44
1.12989940845,7.67e44
1.11131138065,15.04e44
1.16185783528,23.93e44
1.21852846141,5.24e44
1.12679912579,3.81e44
1.0546270742,5.71e44
1.10785408625,7.79e44
0.97472877882,8.55e44
1.10719646621,7.04e44
1.14793650707,3.32e44
0.909839281267,5.01e44
1.15996223133,13.77e44
1.18865065267,7.08e44
1.40206807511,61.52e44
1.22065532472,4.95e44
1.10241688045,8.10e44
1.10173060477,12.58e44
1.32393935684,3.64e44
1.33943900266,22.37e44
1.05160780638,8.86e44
1.36265985496,21.42e44
0.974800617833,10.26e44
1.15093350474,2.58e44
1.23736992651,4.90e44
1.30710215186,13.90e44
1.34345273727,2.73e44
1.29645115531,2.97e44
1.05885898211,14.42e44
1.13677048425,10.07e44
0.908401418727,24.27e44
1.15062890458,9.92e44
1.13582456621,4.30e44
1.33723138949,8.22e44
1.04333698531,4.27e44
1.29848306969,5.44e44
1.50178519214,10.96e44
1.26421674412,5.04e44
1.12139701725,9.92e44
1.25409781583,7.46e44
1.3858887941,8.41e44
0.975498953288,3.72e44
1.19949226184,2.54e44
1.22875135867,2.67e44
1.31004723633,6.33e44
1.27687774018,4.60e44
1.1579840566,
1.25584937721,
1.69277692418,
1.39348133971,
1.17312881676,
1.2867679508,
1.1149761799,
1.2390876376,
1.23997634255,
1.50939034106,
1.31635831744,
1.28875587569,
0.968653530765,
1.07768391547,
