A,B,C
0.000240030502245,0.0492293210518,28.60e44
0.00993675186838,0.466189285457,4.12e44
9.76313891168e-06,0.00242981013421,3.03e44
6.29309828851e-06,0.0138416715124,7.53e44
0.000146408353168,0.0741227431978,7.45e44
3.88282630693e-05,0.000767768849392,2.67e44
0.000131123843885,0.199589198156,10.99e44
6.25613683721e-05,0.00201615190137,10.21e44
0.0185304067499,0.23783222059,2.22e44
0.00771461031285,0.224451513062,5.01e44
0.0242788339133,0.262688353464,14.18e44
2.44330920099e-06,0.00958175020106,7.30e44
0.000264168854186,0.117633826652,15.40e44
0.000458797932377,0.117058640125,2.92e44
0.00924481561125,0.233762122069,9.16e44
0.00211136651464,0.174080215988,9.55e44
0.0164331192413,0.411545395176,20.08e44
0.000292970054113,0.110451961064,4.54e44
4.40794317511e-05,0.0209680052858,4.58e44
1.10270341726e-05,0.00572876993055,20.06e44
0.0164364845212,0.108667233367,8.77e44
4.03608839246e-05,0.0274821266055,110.57e44
0.000169657237243,0.0194048625532,4.83e44
0.00076091897385,0.162789771759,6.98e44
0.00405439063164,0.275583139944,4.91e44
3.05114394367e-06,0.0512990008503,7.67e44
6.09260590968e-05,0.0157367284319,15.04e44
0.0646819090346,0.22213789407,23.93e44
8.42531860413e-05,0.193637493549,5.24e44
0.00028355033763,0.00028355033763,3.81e44
0.00209574669034,0.205957403754,5.71e44
7.86322701177e-05,0.0468108849921,7.79e44
3.46287390053e-06,0.0282372945269,8.55e44
5.87077527721e-05,0.0392098017022,7.04e44
3.28478055566e-07,0.00248363666347,3.32e44
0.000103983463165,0.0374923772717,5.01e44
1.26618815099e-17,0.0187657114428,13.77e44
0.000226191776161,0.0211100694802,7.08e44
1.03586422791e-05,0.0267795039952,61.52e44
0.000275838305866,0.0128171538469,4.95e44
2.28437894231e-05,0.00220203317434,8.10e44
1.90544515363e-05,0.00600982402519,12.58e44
7.56571075929e-06,0.00256260258913,3.64e44
0.00029912394796,0.121581350717,22.37e44
0.000312514614384,0.00478540921474,8.86e44
0.000200564763031,0.0135215554932,21.42e44
5.07811856561e-05,0.00175958577758,10.26e44
0.00219876705694,0.197086083774,2.58e44
3.064952876e-05,0.0801163295431,4.90e44
2.68846162643e-05,0.00547048859351,13.90e44
0.000103126285177,0.0224331567482,2.73e44
4.73193672312,78.5333291059,2.97e44
0.00540379243206,0.035642690221,14.42e44
2.89279817956e-05,0.00254266100273,10.07e44
0.0243417886446, 0.315894462258,24.27e44
0.00556983551163,0.289822201184,9.92e44
1.30284689428e-05,0.00128598791577,4.30e44
0.00153390301332,0.233375443914,8.22e44
0.0439345433937,0.576330486432,4.27e44
0.00314409075363,0.474179071623,5.44e44
0.000815132585671,0.140563441287,10.96e44
0.00170548451011, 0.244705326765,5.04e44
0.000105217456814,0.0103010682555,9.92e44
9.08652764744e-05,0.113935509889,7.46e44
0.0030870889246,0.18169457467,8.41e44
0.000226618434519,0.0433721575922,3.72e44
0.0041763252084,0.21658161962,2.54e44
2.72305517439e-05,0.0492270798514,2.67e44
0.0146326742884,0.354656712271,6.33e44
3.09721925015e-05,0.00568790033178,4.60e44
0.000470347931299,0.0237794130272,
0.00239708775281,0.832287239758,
2.97622982098e-05, 0.00521946733023,
0.00859864802431,0.408295675421,
6.10507128595e-05,0.0139240642482,
6.57230481508e-05,0.00512834660679,
0.000603910854035,0.106839775367,
0.0112492608449,0.367318972014,
0.0432445435581,0.46031012069,
0.019907405249,0.916165230398,
0.000153200292806,0.00368180979353,
2.26555215732e-05,0.0274335746615,
0.00849005106029,0.386608241212,
0.000331500005814,0.204662706927,
